"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a170k000003dO2hAAE","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 35.393278196409625,
  ""lng"": 139.47500992979968
 },
 {
  ""lat"": 35.3935132043206,
  ""lng"": 139.47669435706104
 },
 {
  ""lat"": 35.392938052167636,
  ""lng"": 139.4775151130196
 },
 {
  ""lat"": 35.39220828331665,
  ""lng"": 139.477767240667
 },
 {
  ""lat"": 35.39199182518419,
  ""lng"": 139.4778423425194
 },
 {
  ""lat"": 35.39159601452525,
  ""lng"": 139.4767962810036
 },
 {
  ""lat"": 35.39272159599395,
  ""lng"": 139.47634030547107
 },
 {
  ""lat"": 35.39233815791723,
  ""lng"": 139.4752835151192
 },
 {
  ""lat"": 35.393340040663126,
  ""lng"": 139.47498847212756
 }
]"
"a170k000003dO2iAAE","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 35.081341884304955,
  ""lng"": 135.0269927726501
 },
 {
  ""lat"": 35.0674864812857,
  ""lng"": 135.03596281749225
 },
 {
  ""lat"": 35.05877497324749,
  ""lng"": 135.0482366059444
 },
 {
  ""lat"": 35.06320109753689,
  ""lng"": 135.056991336169
 },
 {
  ""lat"": 35.07043694259438,
  ""lng"": 135.05673384410358
 },
 {
  ""lat"": 35.07493267853688,
  ""lng"": 135.05055403453326
 },
 {
  ""lat"": 35.0775316628939,
  ""lng"": 135.0566480134151
 },
 {
  ""lat"": 35.08027104327433,
  ""lng"": 135.07836317759967
 },
 {
  ""lat"": 35.09073603412994,
  ""lng"": 135.07553076487994
 },
 {
  ""lat"": 35.08813747043462,
  ""lng"": 135.05424475413776
 },
 {
  ""lat"": 35.09459861093043,
  ""lng"": 135.05759215098834
 },
 {
  ""lat"": 35.097758764952225,
  ""lng"": 135.04909491282916
 },
 {
  ""lat"": 35.09263223105789,
  ""lng"": 135.02763724071002
 }
]"
"a170k000003dO2jAAE","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 35.08121954670777,
  ""lng"": 135.02700406244804
 },
 {
  ""lat"": 35.08086835331815,
  ""lng"": 135.04391270807793
 },
 {
  ""lat"": 35.07486271239768,
  ""lng"": 135.05056458643486
 },
 {
  ""lat"": 35.08086835331815,
  ""lng"": 135.0437839620452
 }
]"
"a170k000003dO2kAAE","2418c3","28hyogo_s.geojson","0","ea62d7","","[
 {
  ""lat"": 34.55882354410863,
  ""lng"": 135.52868344255012
 },
 {
  ""lat"": 34.56193364222485,
  ""lng"": 135.54919697709602
 }
]"
"a170k000003dO2lAAE","e9e2e2","12tibaken_s.geojson","0","63f13b","","[
 {
  ""lat"": 35.50800591361688,
  ""lng"": 139.3874703370449
 },
 {
  ""lat"": 35.50822425435235,
  ""lng"": 139.38587174047203
 },
 {
  ""lat"": 35.50720241459814,
  ""lng"": 139.3849490605709
 },
 {
  ""lat"": 35.50603208642718,
  ""lng"": 139.38650474179954
 },
 {
  ""lat"": 35.506425108983706,
  ""lng"": 139.38759908307762
 },
 {
  ""lat"": 35.50715001220896,
  ""lng"": 139.38816771138877
 }
]"
"a170k000003dO2mAAE","000000","11saitama.geojson","0","0039e6","","[
 {
  ""lat"": 35.19425394060772,
  ""lng"": 136.49545735061534
 },
 {
  ""lat"": 35.193574446144204,
  ""lng"": 136.4949638241566
 },
 {
  ""lat"": 35.193236888717124,
  ""lng"": 136.49503892600902
 },
 {
  ""lat"": 35.19313605960322,
  ""lng"": 136.4967662686146
 },
 {
  ""lat"": 35.19422763770197,
  ""lng"": 136.49684137046702
 }
]"
"a170k000003dO2nAAE","000000","11saitama.geojson","0","0039e6","","[
 {
  ""lat"": 35.08964308456071,
  ""lng"": 136.57280026859502
 },
 {
  ""lat"": 35.09024443762344,
  ""lng"": 136.56952797359685
 },
 {
  ""lat"": 35.08918658000498,
  ""lng"": 136.56947969383458
 },
 {
  ""lat"": 35.08889687386541,
  ""lng"": 136.5719687838004
 },
 {
  ""lat"": 35.08966503183074,
  ""lng"": 136.57289682811955
 }
]"
"a170k000003dO2oAAE","000000","12tibaken_s.geojson","0","ee00ff","","[
 {
  ""lat"": 37.822460885351234,
  ""lng"": 140.44321402326574
 },
 {
  ""lat"": 37.821291344697784,
  ""lng"": 140.4478703381156
 },
 {
  ""lat"": 37.814208223066615,
  ""lng"": 140.4491148830985
 },
 {
  ""lat"": 37.813564058493824,
  ""lng"": 140.44735535398473
 },
 {
  ""lat"": 37.813733576031574,
  ""lng"": 140.44531687513341
 },
 {
  ""lat"": 37.815869463658146,
  ""lng"": 140.44072493329992
 },
 {
  ""lat"": 37.81688653128493,
  ""lng"": 140.44087513700475
 },
 {
  ""lat"": 37.818829051905496,
  ""lng"": 140.43870791212072
 },
 {
  ""lat"": 37.82021898509003,
  ""lng"": 140.43896540418615
 },
 {
  ""lat"": 37.82167669177392,
  ""lng"": 140.44023140684118
 }
]"
"a170k000003dO2pAAE","e9e2e2","07fukushima.geojson","0","96ee99","","[
 {
  ""lat"": 35.66688767327478,
  ""lng"": 139.7874572817741
 },
 {
  ""lat"": 35.66737578613714,
  ""lng"": 139.7771575991569
 },
 {
  ""lat"": 35.66256425764494,
  ""lng"": 139.77621346158367
 },
 {
  ""lat"": 35.65810113143132,
  ""lng"": 139.78372364682536
 },
 {
  ""lat"": 35.66287806182019,
  ""lng"": 139.78805809659343
 },
 {
  ""lat"": 35.66619036400865,
  ""lng"": 139.78784351987224
 }
]"
"a170k000003dO2qAAE","e9e2e2","12tibaken_s.geojson","0","b1ecb8","","[
 {
  ""lat"": 37.42006529236225,
  ""lng"": 140.38777064021704
 },
 {
  ""lat"": 37.42182056928258,
  ""lng"": 140.3867192142832
 },
 {
  ""lat"": 37.42211027122624,
  ""lng"": 140.38079689677832
 },
 {
  ""lat"": 37.41991191669616,
  ""lng"": 140.37656973537085
 },
 {
  ""lat"": 37.417168143374326,
  ""lng"": 140.37835072215674
 },
 {
  ""lat"": 37.41636714711297,
  ""lng"": 140.381097304188
 },
 {
  ""lat"": 37.4181906793444,
  ""lng"": 140.3860540264475
 }
]"
"a170k000003dO2rAAE","e9e2e2","12tibaken_s.geojson","0","b1ecb8","","[
 {
  ""lat"": 37.41251027461066,
  ""lng"": 140.39651911154857
 },
 {
  ""lat"": 37.41385669445749,
  ""lng"": 140.39102594748607
 },
 {
  ""lat"": 37.41205010025292,
  ""lng"": 140.3915194739448
 },
 {
  ""lat"": 37.41000484668226,
  ""lng"": 140.3929571379768
 },
 {
  ""lat"": 37.4099878026679,
  ""lng"": 140.39578955069652
 },
 {
  ""lat"": 37.41189670817211,
  ""lng"": 140.39669077292552
 }
]"
"a170k000003dO2sAAE","c8c1c1","","0","d992ca","","[
 {
  ""lat"": 35.393732278846464,
  ""lng"": 139.474853905523
 },
 {
  ""lat"": 35.393785301771175,
  ""lng"": 139.47503093131797
 },
 {
  ""lat"": 35.39376780967614,
  ""lng"": 139.47497460492866
 },
 {
  ""lat"": 35.393785301771175,
  ""lng"": 139.47503294297474
 }
]"
"a170k000003dO2tAAE","000000","12tibaken_s.geojson","0","ee00ff","","[
 {
  ""lat"": 37.818773815963745,
  ""lng"": 140.44516765060956
 },
 {
  ""lat"": 37.81886280643918,
  ""lng"": 140.44675551834638
 },
 {
  ""lat"": 37.817434708237236,
  ""lng"": 140.44628344955976
 },
 {
  ""lat"": 37.81764659398896,
  ""lng"": 140.44517837944562
 },
 {
  ""lat"": 37.81807883903661,
  ""lng"": 140.44497989597852
 }
]"
