"ID","MapT__FILCOLOR__C","MapT__GYOUSEIKUBUN__C","MapT__LAYERFILOPTICALLY__C","MapT__LINECOLOR__C","MapT__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a032w00000YRm87AAD","73a6e8","null","0.5","e47777","a0B2w00000CKbW0EAL","[
 {
  ""lat"": 35.932418252843,
  ""lng"": 139.56858504360156
 },
 {
  ""lat"": 35.932418252843,
  ""lng"": 139.5762668902202
 },
 {
  ""lat"": 35.92571141676006,
  ""lng"": 139.57652438228564
 },
 {
  ""lat"": 35.92602418342028,
  ""lng"": 139.56489432399707
 },
 {
  ""lat"": 35.93217500966372,
  ""lng"": 139.56867087429004
 },
 {
  ""lat"": 35.93255724860939,
  ""lng"": 139.57034457271533
 }
]"
"a032w00000YRnBpAAL","73a6e8","null","0.5","e47777","a0B2w00000CKbW0EAL","[
 {
  ""lat"": 35.968747478046865,
  ""lng"": 139.30589217169342
 },
 {
  ""lat"": 35.883119004044694,
  ""lng"": 139.57069409640047
 },
 {
  ""lat"": 35.79795478089774,
  ""lng"": 139.52194226534579
 },
 {
  ""lat"": 35.81076308452975,
  ""lng"": 139.31732190401766
 }
]"
"a032w00000YRnBuAAL","73a6e8","null","0.5","e47777","a0B2w00000CKbW0EAL","[
 {
  ""lat"": 35.94361987117684,
  ""lng"": 139.5105946902201
 },
 {
  ""lat"": 35.94361987117684,
  ""lng"": 139.55213674344276
 },
 {
  ""lat"": 35.91498559038469,
  ""lng"": 139.54801687039588
 },
 {
  ""lat"": 35.91470753683228,
  ""lng"": 139.49857839383338
 }
]"
"a032w00000YRnBzAAL","73a6e8","null","0","e47777","a0B2w00000CKbW0EAL","[
 {
  ""lat"": 35.98232888511178,
  ""lng"": 139.57607377117114
 },
 {
  ""lat"": 35.98677381860823,
  ""lng"": 139.66293442790942
 },
 {
  ""lat"": 35.97149331075516,
  ""lng"": 139.6667109782024
 },
 {
  ""lat"": 35.96538027925851,
  ""lng"": 139.57504380290942
 }
]"
"a032w00000YRnC4AAL","73a6e8","null","0.5","e47777","a0B2w00000CKbW0EAL","[
 {
  ""lat"": 36.11754653762321,
  ""lng"": 140.04995507233195
 },
 {
  ""lat"": 35.87867277703231,
  ""lng"": 139.94146508209758
 },
 {
  ""lat"": 35.88757405741164,
  ""lng"": 140.37954491608195
 }
]"
"a032w00000YRnIfAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.93734459285854,
  ""lng"": 139.57444199120715
 },
 {
  ""lat"": 35.93246251576134,
  ""lng"": 139.5728112081261
 },
 {
  ""lat"": 35.93169803510582,
  ""lng"": 139.57916267907336
 },
 {
  ""lat"": 35.93529450467942,
  ""lng"": 139.58085783517078
 }
]"
"a032w00000YRnIpAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.93767468683268,
  ""lng"": 139.5836902478905
 },
 {
  ""lat"": 35.93930776305544,
  ""lng"": 139.58978422677234
 },
 {
  ""lat"": 35.935833092316535,
  ""lng"": 139.59420450722888
 },
 {
  ""lat"": 35.93270575805598,
  ""lng"": 139.58845385110095
 },
 {
  ""lat"": 35.9330184970494,
  ""lng"": 139.58205946480945
 }
]"
"a032w00000YRnIuAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.944955018727825,
  ""lng"": 139.5695211461954
 },
 {
  ""lat"": 35.948359804535606,
  ""lng"": 139.58239574946688
 },
 {
  ""lat"": 35.94252293904249,
  ""lng"": 139.5827390722208
 },
 {
  ""lat"": 35.93953485296137,
  ""lng"": 139.57252522029208
 }
]"
"a032w00000YRnIzAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.95805924905612,
  ""lng"": 139.5573620755292
 },
 {
  ""lat"": 35.9593792705612,
  ""lng"": 139.5801072079755
 },
 {
  ""lat"": 35.95263998221778,
  ""lng"": 139.57813310214053
 },
 {
  ""lat"": 35.9488879643052,
  ""lng"": 139.5595078427411
 }
]"
"a032w00000YRnJ4AAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.936890743048764,
  ""lng"": 139.54078028680226
 },
 {
  ""lat"": 35.94217142587761,
  ""lng"": 139.55665864372256
 },
 {
  ""lat"": 35.936403597758314,
  ""lng"": 139.56034936332705
 },
 {
  ""lat"": 35.92743830656764,
  ""lng"": 139.55605782890322
 },
 {
  ""lat"": 35.92813332673156,
  ""lng"": 139.5396641674042
 }
]"
"a032w00000YRnJ9AAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.957500497157554,
  ""lng"": 139.59927399056266
 },
 {
  ""lat"": 35.94964933163948,
  ""lng"": 139.6002181281359
 },
 {
  ""lat"": 35.947425850960684,
  ""lng"": 139.588888477257
 },
 {
  ""lat"": 35.95819525298317,
  ""lng"": 139.5882018317492
 }
]"
"a032w00000YRnJJAA1","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.95490698113144,
  ""lng"": 139.5549791690467
 },
 {
  ""lat"": 35.95796396142755,
  ""lng"": 139.58253082004768
 }
]"
"a032w00000YRnJOAA1","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.952127805469125,
  ""lng"": 139.55583747593147
 },
 {
  ""lat"": 35.95594914679686,
  ""lng"": 139.58441909519416
 }
]"
"a032w00000YRnJTAA1","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.96171554826823,
  ""lng"": 139.59094222751838
 },
 {
  ""lat"": 35.94253889891766,
  ""lng"": 139.59222968784553
 }
]"
"a032w00000YRnJYAA1","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.96067345868837,
  ""lng"": 139.5952337619422
 },
 {
  ""lat"": 35.94274736578152,
  ""lng"": 139.5960062381385
 }
]"
"a032w00000YRnJiAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.94337276307354,
  ""lng"": 139.56802543369514
 },
 {
  ""lat"": 35.948167311216366,
  ""lng"": 139.58639320102913
 }
]"
"a032w00000YRnJnAAL","2de6e3","null","0.3","a17fe1","a0B2w000004ZQdmEAG","[
 {
  ""lat"": 35.9410796154731,
  ""lng"": 139.57051452366096
 },
 {
  ""lat"": 35.9462217325511,
  ""lng"": 139.58639320102913
 }
]"
