"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a015h00002BiPhmAAF","e9e2e2","07fukushima.geojson","0","05e0f0","","[
 {
  ""lat"": 34.68916088552242,
  ""lng"": 134.95188680295865
 },
 {
  ""lat"": 34.69008275889882,
  ""lng"": 134.9518760741226
 },
 {
  ""lat"": 34.69052384300763,
  ""lng"": 134.95074954633634
 },
 {
  ""lat"": 34.68836250841802,
  ""lng"": 134.94843211774747
 },
 {
  ""lat"": 34.68820371426365,
  ""lng"": 134.94657602910917
 },
 {
  ""lat"": 34.6875597126261,
  ""lng"": 134.94591084127347
 },
 {
  ""lat"": 34.68726858695388,
  ""lng"": 134.9449452460281
 },
 {
  ""lat"": 34.68511598960774,
  ""lng"": 134.94673696165006
 },
 {
  ""lat"": 34.685407122849725,
  ""lng"": 134.94836774473112
 },
 {
  ""lat"": 34.68571589941189,
  ""lng"": 134.94967666273038
 },
 {
  ""lat"": 34.68606878550136,
  ""lng"": 134.94999852781217
 },
 {
  ""lat"": 34.68725094294128,
  ""lng"": 134.94988051061551
 },
 {
  ""lat"": 34.6880052211429,
  ""lng"": 134.95072808866422
 },
 {
  ""lat"": 34.68901973654035,
  ""lng"": 134.95118942861478
 }
]"
"a015h00002BiPhnAAF","c8c1c1","28hyogo_s.geojson","0","d992ca","","[
 {
  ""lat"": 34.657928006548616,
  ""lng"": 135.05536756228594
 },
 {
  ""lat"": 34.64718599340994,
  ""lng"": 135.0496239935137
 },
 {
  ""lat"": 34.648845316474116,
  ""lng"": 135.03788664686454
 },
 {
  ""lat"": 34.65178328410657,
  ""lng"": 135.03825614076354
 },
 {
  ""lat"": 34.65217161775419,
  ""lng"": 135.0432557783673
 },
 {
  ""lat"": 34.658102305573784,
  ""lng"": 135.04894206147887
 },
 {
  ""lat"": 34.65958491122054,
  ""lng"": 135.0504440985272
 }
]"
"a015h00002BiPhoAAF","e9e2e2","07fukushima.geojson","0","05e0f0","","[
 {
  ""lat"": 34.677745489265966,
  ""lng"": 134.94472977159506
 },
 {
  ""lat"": 34.67820428505017,
  ""lng"": 134.94301315782553
 },
 {
  ""lat"": 34.67943066899509,
  ""lng"": 134.94231578348166
 },
 {
  ""lat"": 34.67977475906935,
  ""lng"": 134.94098540781027
 },
 {
  ""lat"": 34.67793959548487,
  ""lng"": 134.9373697900582
 },
 {
  ""lat"": 34.673669153575005,
  ""lng"": 134.93775602815634
 },
 {
  ""lat"": 34.67383679904198,
  ""lng"": 134.94021293161398
 },
 {
  ""lat"": 34.67660731182753,
  ""lng"": 134.94242307184226
 },
 {
  ""lat"": 34.67720728327962,
  ""lng"": 134.94418260095603
 }
]"
"a015h00002BiPhpAAF","e9e2e2","07fukushima.geojson","0","05e0f0","","[
 {
  ""lat"": 34.69307716653495,
  ""lng"": 134.93936236169955
 },
 {
  ""lat"": 34.69208916534556,
  ""lng"": 134.93743117120883
 },
 {
  ""lat"": 34.69060714144852,
  ""lng"": 134.93878300455233
 },
 {
  ""lat"": 34.6882517274435,
  ""lng"": 134.93849332597873
 },
 {
  ""lat"": 34.68805764539816,
  ""lng"": 134.93864352968356
 },
 {
  ""lat"": 34.688287015039215,
  ""lng"": 134.94128282335421
 },
 {
  ""lat"": 34.691745126449064,
  ""lng"": 134.94211967256686
 }
]"
"a015h00002BiPhqAAF","c8c1c1","28hyogo_s.geojson","0","d992ca","","[
 {
  ""lat"": 35.45906729571824,
  ""lng"": 136.20621604901353
 }
]"
"a015h00002BiPhrAAF","c8c1c1","28hyogo_s.geojson","0","d992ca","","[
 {
  ""lat"": 35.47688922263015,
  ""lng"": 136.2668567488165
 },
 {
  ""lat"": 35.476887038374045,
  ""lng"": 136.2682970950575
 },
 {
  ""lat"": 35.476887038374045,
  ""lng"": 136.26618351435377
 }
]"
"a015h00002BiPhsAAF","c8c1c1","28hyogo_s.geojson","0","d992ca","","[
 {
  ""lat"": 35.45956096738896,
  ""lng"": 136.20591974164918
 }
]"
"a015h00002BiPhtAAF","000000","11saitama.geojson","0","ff1493","","[
 {
  ""lat"": 33.74323994732251,
  ""lng"": 135.38345857105583
 },
 {
  ""lat"": 33.74304033066761,
  ""lng"": 135.38348136983245
 },
 {
  ""lat"": 33.7430648645832,
  ""lng"": 135.3839561208281
 },
 {
  ""lat"": 33.74330239713031,
  ""lng"": 135.3839051588568
 }
]"
"a015h00002BiPhuAAF","e9e2e2","07fukushima.geojson","0","05e0f0","","[
 {
  ""lat"": 34.682308157914534,
  ""lng"": 134.91238596541436
 },
 {
  ""lat"": 34.68347272423331,
  ""lng"": 134.91129162413628
 },
 {
  ""lat"": 34.68418733636485,
  ""lng"": 134.90910294158013
 },
 {
  ""lat"": 34.68269634850743,
  ""lng"": 134.90651729208977
 },
 {
  ""lat"": 34.680667150300465,
  ""lng"": 134.90501525504143
 },
 {
  ""lat"": 34.67938784761268,
  ""lng"": 134.90572335822137
 },
 {
  ""lat"": 34.67659095841914,
  ""lng"": 134.90791204077752
 },
 {
  ""lat"": 34.67893788127947,
  ""lng"": 134.91034748656304
 },
 {
  ""lat"": 34.68119651114908,
  ""lng"": 134.9120319138244
 }
]"
"a015h00002BiPhvAAF","ffffff","null","0","cce60a","","[
 {
  ""lat"": 34.71612539462215,
  ""lng"": 135.66130207484142
 },
 {
  ""lat"": 34.715891692664854,
  ""lng"": 135.66150860493556
 },
 {
  ""lat"": 34.71614082774702,
  ""lng"": 135.66173927491084
 }
]"
