"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a015h00002BiRHmAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.900751431504354,
  ""lng"": 139.73503731962623
 },
 {
  ""lat"": 35.901377160975564,
  ""lng"": 139.73495148893775
 },
 {
  ""lat"": 35.901837764230876,
  ""lng"": 139.73540746447028
 },
 {
  ""lat"": 35.90110775028189,
  ""lng"": 139.73616921183051
 },
 {
  ""lat"": 35.90073405005955,
  ""lng"": 139.73626040693702
 },
 {
  ""lat"": 35.900608034470466,
  ""lng"": 139.73591171976508
 },
 {
  ""lat"": 35.90084702938262,
  ""lng"": 139.7357346939701
 },
 {
  ""lat"": 35.90066017887648,
  ""lng"": 139.7352465319294
 }
]"
"a015h00002BiRHnAAN","000000","12tibaken_s.geojson","0","ee00ff","","[
 {
  ""lat"": 33.803884488109524,
  ""lng"": 135.26592199362426
 },
 {
  ""lat"": 33.79824996481521,
  ""lng"": 135.28025571859985
 },
 {
  ""lat"": 33.80188748431789,
  ""lng"": 135.2906412319055
 },
 {
  ""lat"": 33.80181616189203,
  ""lng"": 135.29750768698364
 },
 {
  ""lat"": 33.78461527273497,
  ""lng"": 135.29286580084064
 },
 {
  ""lat"": 33.77491292012429,
  ""lng"": 135.27887539861896
 },
 {
  ""lat"": 33.77905082255759,
  ""lng"": 135.26462750433186
 },
 {
  ""lat"": 33.78340253876327,
  ""lng"": 135.2604218005965
 },
 {
  ""lat"": 33.78968003485381,
  ""lng"": 135.2673740863631
 },
 {
  ""lat"": 33.80207111951899,
  ""lng"": 135.26496978678094
 }
]"
"a015h00002BiRHoAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.90326030953229,
  ""lng"": 139.7324548556516
 },
 {
  ""lat"": 35.90467683954723,
  ""lng"": 139.73168774387335
 },
 {
  ""lat"": 35.904768087543985,
  ""lng"": 139.73242803356146
 },
 {
  ""lat"": 35.90329072608731,
  ""lng"": 139.7329376532743
 }
]"
"a015h00002BiRHpAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.92367173197196,
  ""lng"": 139.72159031076453
 },
 {
  ""lat"": 35.92513133678342,
  ""lng"": 139.72153666658423
 },
 {
  ""lat"": 35.925105272648025,
  ""lng"": 139.7238540951731
 },
 {
  ""lat"": 35.92362829093974,
  ""lng"": 139.72382190866492
 }
]"
"a015h00002BiRHqAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.911649008539136,
  ""lng"": 139.7093828181135
 },
 {
  ""lat"": 35.913178350107934,
  ""lng"": 139.70974759853954
 },
 {
  ""lat"": 35.91305669901997,
  ""lng"": 139.7118289927351
 },
 {
  ""lat"": 35.91165769806338,
  ""lng"": 139.71127109326
 },
 {
  ""lat"": 35.91133618503085,
  ""lng"": 139.71053080357188
 }
]"
"a015h00002BiRHrAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.915574411288226,
  ""lng"": 139.7352035315447
 },
 {
  ""lat"": 35.920249005498185,
  ""lng"": 139.73792865590383
 },
 {
  ""lat"": 35.91953653872332,
  ""lng"": 139.74028899983693
 },
 {
  ""lat"": 35.915887218038115,
  ""lng"": 139.73915174321462
 },
 {
  ""lat"": 35.91484452406147,
  ""lng"": 139.73651244954397
 }
]"
"a015h00002BiRHsAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.905836641354654,
  ""lng"": 139.72977087637457
 },
 {
  ""lat"": 35.90568673590002,
  ""lng"": 139.73077670475516
 },
 {
  ""lat"": 35.9061386239445,
  ""lng"": 139.7310207857755
 },
 {
  ""lat"": 35.90621900760515,
  ""lng"": 139.73075524708304
 },
 {
  ""lat"": 35.90596699369308,
  ""lng"": 139.7297601475385
 }
]"
"a015h00002BiRHtAAN","000000","11saitama_s.geojson","0","ff69b4","","[
 {
  ""lat"": 35.90726030357312,
  ""lng"": 139.7266505334461
 },
 {
  ""lat"": 35.908520344513384,
  ""lng"": 139.72658616042975
 },
 {
  ""lat"": 35.90845517047407,
  ""lng"": 139.73028224445227
 },
 {
  ""lat"": 35.90727768358464,
  ""lng"": 139.7301266763294
 },
 {
  ""lat"": 35.907425413528316,
  ""lng"": 139.72805064655188
 },
 {
  ""lat"": 35.9073124435962,
  ""lng"": 139.72732108569983
 }
]"
"a015h00002BiRHuAAN","ffffff","27osaka_s.geojson","0","07e4ca","","[
 {
  ""lat"": 35.586465833966365,
  ""lng"": 139.6283717825075
 },
 {
  ""lat"": 35.583830810468235,
  ""lng"": 139.63193375607926
 },
 {
  ""lat"": 35.58445903586312,
  ""lng"": 139.64135367413957
 },
 {
  ""lat"": 35.57936328774618,
  ""lng"": 139.64467961331803
 },
 {
  ""lat"": 35.578036943962395,
  ""lng"": 139.64837033292252
 },
 {
  ""lat"": 35.57296283460827,
  ""lng"": 139.64296437405113
 },
 {
  ""lat"": 35.56987356892292,
  ""lng"": 139.63959551952843
 },
 {
  ""lat"": 35.5708335229945,
  ""lng"": 139.63309384487633
 },
 {
  ""lat"": 35.58099087758872,
  ""lng"": 139.62777234219078
 },
 {
  ""lat"": 35.58449853070845,
  ""lng"": 139.6291241755343
 }
]"
"a015h00002BiRHvAAN","ffffff","27osaka_s.geojson","0","07e4ca","","[
 {
  ""lat"": 35.59300628140039,
  ""lng"": 139.63549733463674
 },
 {
  ""lat"": 35.58792852710651,
  ""lng"": 139.6264851123467
 },
 {
  ""lat"": 35.58609626865436,
  ""lng"": 139.6288239986077
 },
 {
  ""lat"": 35.584072010569535,
  ""lng"": 139.6317422420159
 },
 {
  ""lat"": 35.584804937510086,
  ""lng"": 139.64107632938772
 },
 {
  ""lat"": 35.58763187858278,
  ""lng"": 139.64146256748586
 }
]"
