"ID","MAPTECH__FILCOLOR__C","MAPTECH__GYOUSEIKUBUN__C","MAPTECH__LAYERFILOPTICALLY__C","MAPTECH__LINECOLOR__C","MAPTECH__MAPTECHUSERID__C","MAPTECH__POLYGON_LATLNGINFO__C"
"a177F00000FlI8KQAV","000000","11saitama.geojson","0","ff1493","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 35.87430796374582,
  ""lng"": 139.6987597385554
 }
]"
"a177F00000FlI8PQAV","000000","11saitama.geojson","0","ff1493","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 35.87186759681255,
  ""lng"": 139.6992793233603
 },
 {
  ""lat"": 35.87120685827621,
  ""lng"": 139.69372178628143
 },
 {
  ""lat"": 35.86988536467376,
  ""lng"": 139.69260598733123
 },
 {
  ""lat"": 35.86969409403706,
  ""lng"": 139.69101811959442
 },
 {
  ""lat"": 35.86682843636967,
  ""lng"": 139.68709136559661
 },
 {
  ""lat"": 35.86334913773974,
  ""lng"": 139.69047428378852
 },
 {
  ""lat"": 35.86334913773974,
  ""lng"": 139.69588161716254
 },
 {
  ""lat"": 35.86640965755949,
  ""lng"": 139.70416427860053
 }
]"
"a177F00000FlI8UQAV","000000","11saitama.geojson","0","ff1493","a1F7F00000D1wlWUAR","[
 {
  ""lat"": 35.86727292079596,
  ""lng"": 139.6875689340958
 },
 {
  ""lat"": 35.86899439250291,
  ""lng"": 139.68250492347568
 },
 {
  ""lat"": 35.86711642151367,
  ""lng"": 139.67997291816562
 },
 {
  ""lat"": 35.86381247564408,
  ""lng"": 139.68501547111362
 }
]"
"a177F00000FlI8ZQAV","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.86238068400358,
  ""lng"": 139.77047058717633
 },
 {
  ""lat"": 35.86185898632469,
  ""lng"": 139.7737965263548
 },
 {
  ""lat"": 35.85984172299155,
  ""lng"": 139.7751269020262
 },
 {
  ""lat"": 35.857801667062915,
  ""lng"": 139.7651265282854
 },
 {
  ""lat"": 35.86047981580021,
  ""lng"": 139.7644398827776
 }
]"
"a177F00000FlI8eQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.85879453679725,
  ""lng"": 139.76995701260955
 },
 {
  ""lat"": 35.85752500902323,
  ""lng"": 139.77175945706756
 },
 {
  ""lat"": 35.855090241340115,
  ""lng"": 139.76859445043
 },
 {
  ""lat"": 35.85658589320412,
  ""lng"": 139.7663092083493
 },
 {
  ""lat"": 35.85783804515737,
  ""lng"": 139.76512903638275
 }
]"
"a177F00000FlI8fQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.85985333142773,
  ""lng"": 139.77504664857133
 },
 {
  ""lat"": 35.85645343143087,
  ""lng"": 139.7732763906215
 },
 {
  ""lat"": 35.85754037183908,
  ""lng"": 139.77174216706499
 },
 {
  ""lat"": 35.858783813389586,
  ""lng"": 139.76997190911516
 }
]"
"a177F00000FlI8gQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.85920944291161,
  ""lng"": 139.7782330870086
 },
 {
  ""lat"": 35.85940943411252,
  ""lng"": 139.78173068756402
 },
 {
  ""lat"": 35.85482690036362,
  ""lng"": 139.78337219948114
 },
 {
  ""lat"": 35.85514864287813,
  ""lng"": 139.77768591636956
 }
]"
"a177F00000FlI8jQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.856451929516666,
  ""lng"": 139.77327487757088
 },
 {
  ""lat"": 35.853617325499044,
  ""lng"": 139.77152071287514
 },
 {
  ""lat"": 35.85474257089454,
  ""lng"": 139.76961098005654
 },
 {
  ""lat"": 35.85519758362369,
  ""lng"": 139.7687204866636
 },
 {
  ""lat"": 35.85753409433996,
  ""lng"": 139.7717460184324
 }
]"
"a177F00000FlI8oQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.85884934657597,
  ""lng"": 139.77816052035493
 },
 {
  ""lat"": 35.85513635795309,
  ""lng"": 139.77764553622407
 },
 {
  ""lat"": 35.85185800096916,
  ""lng"": 139.77489895419282
 },
 {
  ""lat"": 35.85363198285123,
  ""lng"": 139.77148718432588
 },
 {
  ""lat"": 35.85647548865336,
  ""lng"": 139.77327889994783
 },
 {
  ""lat"": 35.855310272309104,
  ""lng"": 139.7749847848813
 },
 {
  ""lat"": 35.85513635795309,
  ""lng"": 139.7776884515683
 }
]"
"a177F00000FlI8tQAF","c8c1c1","28hyogo_s.geojson","0","d992ca","a1F7F00000EQvKQUA1","[
 {
  ""lat"": 35.85875654496993,
  ""lng"": 139.77812833384675
 },
 {
  ""lat"": 35.85986084422009,
  ""lng"": 139.7750920732419
 }
]"
