"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL0000HybsNvYQI","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60498782651951,
  ""lng"": 140.05486489961342
 },
 {
  ""lat"": 36.59072381022147,
  ""lng"": 140.0541782541056
 }
]"
"a17TL0000HydCnLYQU","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.605037657503736,
  ""lng"": 140.05746699585933
 },
 {
  ""lat"": 36.59059757403448,
  ""lng"": 140.05779876234465
 }
]"
"a17TL0000HydD3eYQE","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60517802362888,
  ""lng"": 140.06080058486626
 },
 {
  ""lat"": 36.589677359808405,
  ""lng"": 140.06073608852753
 }
]"
"a17TL0000HydGE5YQM","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.57682942011588,
  ""lng"": 140.0444986291304
 },
 {
  ""lat"": 36.49959252536604,
  ""lng"": 140.0438119836226
 }
]"
"a17TL0000HydfAiYQI","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.54567499260121,
  ""lng"": 140.04513203927027
 },
 {
  ""lat"": 36.54553708274491,
  ""lng"": 140.0762027484988
 }
]"
"a17TL0000Hye3w3YQA","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.57558872295919,
  ""lng"": 140.0444986291304
 },
 {
  ""lat"": 36.57503729560165,
  ""lng"": 140.08054751829056
 }
]"
"a17TL0000HyeEgoYQE","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60485789615671,
  ""lng"": 140.06239718109563
 },
 {
  ""lat"": 36.58961159651059,
  ""lng"": 140.06218316865238
 }
]"
"a17TL0000HyeLpWYQU","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.562835957985165,
  ""lng"": 140.0027849145308
 },
 {
  ""lat"": 36.56269807875089,
  ""lng"": 140.04295367673782
 }
]"
"a17TL0000HyeMU7YQM","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.52643110412378,
  ""lng"": 140.0089640475151
 },
 {
  ""lat"": 36.52656904805822,
  ""lng"": 140.04209469326705
 }
]"
"a17TL0000HyeMcvYQE","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.58982791443043,
  ""lng"": 140.04628183076576
 },
 {
  ""lat"": 36.589138756745065,
  ""lng"": 140.0871372384806
 }
]"
"a17TL0000HyeMqlYQE","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60485002255357,
  ""lng"": 140.0501442117472
 },
 {
  ""lat"": 36.59093055392708,
  ""lng"": 140.0498008889933
 }
]"
"a17TL0000HyebItYQI","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60502458241036,
  ""lng"": 140.05927872173794
 },
 {
  ""lat"": 36.58979854120072,
  ""lng"": 140.0594980817734
 }
]"
"a17TL0000Hyq0qxYQA","ffffff","30wakayama_s.geojson","0","d7fb93","a1FTL000007Ac1Z2AS","[
 {
  ""lat"": 36.60472059998994,
  ""lng"": 140.06365527678452
 },
 {
  ""lat"": 36.58978728367696,
  ""lng"": 140.06368164300957
 }
]"
