"ID","MapTech__FILCOLOR__C","MapTech__GYOUSEIKUBUN__C","MapTech__LAYERFILOPTICALLY__C","MapTech__LINECOLOR__C","MapTech__MAPTECHUSERID__C","MapTech__POLYGON_LATLNGINFO__C"
"a17TL0000OeDGPjYQO","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48671746968223,
  ""lng"": 139.3740228735283
 },
 {
  ""lat"": 35.48693586828598,
  ""lng"": 139.38807764876634
 },
 {
  ""lat"": 35.486733954830974,
  ""lng"": 139.37403862777953
 }
]"
"a17TL0000OeHVFGYQ4","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.496367427476564,
  ""lng"": 139.4277926502937
 },
 {
  ""lat"": 35.497749540425005,
  ""lng"": 139.43298106074053
 },
 {
  ""lat"": 35.49641110199926,
  ""lng"": 139.42782483680188
 }
]"
"a17TL0000OeJiClYQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.510238909110775,
  ""lng"": 139.42252992481517
 },
 {
  ""lat"": 35.51146045696492,
  ""lng"": 139.42761463148844
 },
 {
  ""lat"": 35.51029130948422,
  ""lng"": 139.4225191959791
 }
]"
"a17TL0000OeKFqlYQG","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.506877291587806,
  ""lng"": 139.41123559075447
 },
 {
  ""lat"": 35.470780250681564,
  ""lng"": 139.42451857485685
 },
 {
  ""lat"": 35.50692126097901,
  ""lng"": 139.41115176507282
 }
]"
"a17TL0000OeKbAVYQ0","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.51542601306336,
  ""lng"": 139.42049503326416
 },
 {
  ""lat"": 35.47738069797192,
  ""lng"": 139.435026818225
 },
 {
  ""lat"": 35.51558343033846,
  ""lng"": 139.42063892978913
 }
]"
"a17TL0000OeKlf4YQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.499761578835106,
  ""lng"": 139.4073446269424
 },
 {
  ""lat"": 35.469791854188486,
  ""lng"": 139.41807861797488
 },
 {
  ""lat"": 35.49981858941212,
  ""lng"": 139.40740591288744
 }
]"
"a17TL0000OeLSgtYQG","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50731868911331,
  ""lng"": 139.42362108477516
 },
 {
  ""lat"": 35.50856076442491,
  ""lng"": 139.4288404129819
 },
 {
  ""lat"": 35.50728375424158,
  ""lng"": 139.42359962710304
 }
]"
"a17TL0000OeMCLUYQ4","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50361588978775,
  ""lng"": 139.42510391259697
 },
 {
  ""lat"": 35.49096421251451,
  ""lng"": 139.38765324269718
 },
 {
  ""lat"": 35.50364356529714,
  ""lng"": 139.42507934473548
 }
]"
"a17TL0000OeNoOJYQ0","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.47169630304427,
  ""lng"": 139.40829407190154
 },
 {
  ""lat"": 35.47993131044553,
  ""lng"": 139.43884030547326
 },
 {
  ""lat"": 35.47166632844739,
  ""lng"": 139.40825620000018
 }
]"
"a17TL0000OeOShLYQW","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48249855323722,
  ""lng"": 139.43815826414277
 },
 {
  ""lat"": 35.47392553976003,
  ""lng"": 139.4022589088979
 },
 {
  ""lat"": 35.482542582349396,
  ""lng"": 139.43818034963195
 }
]"
"a17TL0000OeOdtMYQS","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48887094891884,
  ""lng"": 139.43065262562575
 },
 {
  ""lat"": 35.490259916700495,
  ""lng"": 139.43555570370498
 },
 {
  ""lat"": 35.488888420360794,
  ""lng"": 139.43057752377334
 }
]"
"a17TL0000OeP7JQYQ0","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50249101217177,
  ""lng"": 139.40960604060248
 },
 {
  ""lat"": 35.46869583519999,
  ""lng"": 139.42185187335488
 },
 {
  ""lat"": 35.50242350095163,
  ""lng"": 139.40968896898792
 }
]"
"a17TL0000OePFH9YQO","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.47118627590069,
  ""lng"": 139.41449905123469
 },
 {
  ""lat"": 35.477369958909335,
  ""lng"": 139.4348761823347
 },
 {
  ""lat"": 35.47128312629763,
  ""lng"": 139.41452152635085
 }
]"
"a17TL0000OePrPyYQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.47575591652906,
  ""lng"": 139.4318919384575
 },
 {
  ""lat"": 35.513021411346855,
  ""lng"": 139.41791014308941
 },
 {
  ""lat"": 35.47573876994906,
  ""lng"": 139.43189169605768
 }
]"
"a17TL0000OeQ5KjYQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49084590655354,
  ""lng"": 139.38665001234142
 },
 {
  ""lat"": 35.47133560400117,
  ""lng"": 139.39382684003215
 },
 {
  ""lat"": 35.490836972497064,
  ""lng"": 139.38664085996672
 }
]"
"a17TL0000OeQAqlYQG","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48687337528737,
  ""lng"": 139.38053441583006
 },
 {
  ""lat"": 35.47032207912794,
  ""lng"": 139.38748961228515
 },
 {
  ""lat"": 35.48690360672233,
  ""lng"": 139.38051963530933
 }
]"
"a17TL0000OeQK0MYQW","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.497001123528676,
  ""lng"": 139.4002540134477
 },
 {
  ""lat"": 35.471713690402126,
  ""lng"": 139.41046226392552
 },
 {
  ""lat"": 35.49703486934062,
  ""lng"": 139.4002604484558
 }
]"
"a17TL0000OeQbHRYQ0","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50733680190967,
  ""lng"": 139.42364716483488
 },
 {
  ""lat"": 35.502521076928076,
  ""lng"": 139.409569110101
 },
 {
  ""lat"": 35.50737355786527,
  ""lng"": 139.42369455441914
 }
]"
"a17TL0000OeQygbYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50880261650218,
  ""lng"": 139.41346678990465
 },
 {
  ""lat"": 35.472408931777956,
  ""lng"": 139.42696111988482
 },
 {
  ""lat"": 35.50878739492746,
  ""lng"": 139.413482663121
 }
]"
"a17TL0000OeR48KYQS","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.486816247316966,
  ""lng"": 139.37717223845874
 },
 {
  ""lat"": 35.470476521381286,
  ""lng"": 139.38435771907254
 },
 {
  ""lat"": 35.48688403744014,
  ""lng"": 139.3771043843689
 }
]"
"a17TL0000OeShbhYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.486243506769036,
  ""lng"": 139.43690533647623
 },
 {
  ""lat"": 35.48425107840314,
  ""lng"": 139.43241758288676
 },
 {
  ""lat"": 35.48626523952495,
  ""lng"": 139.4369374504867
 }
]"
"a17TL0000OeTcdIYQS","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.492608867263385,
  ""lng"": 139.38785338619192
 },
 {
  ""lat"": 35.471532122278774,
  ""lng"": 139.39540687872616
 },
 {
  ""lat"": 35.492605318012494,
  ""lng"": 139.38785140471956
 }
]"
"a17TL0000OeTwlgYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48694138029505,
  ""lng"": 139.38458054612155
 },
 {
  ""lat"": 35.47170714694627,
  ""lng"": 139.3902972843188
 },
 {
  ""lat"": 35.4869607346306,
  ""lng"": 139.38456845818845
 }
]"
"a17TL0000OeUEFFYQ4","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.493165416740425,
  ""lng"": 139.38902254765583
 },
 {
  ""lat"": 35.473003350540864,
  ""lng"": 139.39649326994427
 },
 {
  ""lat"": 35.49318002212975,
  ""lng"": 139.38901323932149
 }
]"
"a17TL0000OeUc6eYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.51032362440195,
  ""lng"": 139.4226680520464
 },
 {
  ""lat"": 35.50590446002944,
  ""lng"": 139.41098713828458
 },
 {
  ""lat"": 35.51034114334564,
  ""lng"": 139.42272448493375
 }
]"
"a17TL0000OeUq09YQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48429449015403,
  ""lng"": 139.4324250381195
 },
 {
  ""lat"": 35.47043428856315,
  ""lng"": 139.37949534417993
 },
 {
  ""lat"": 35.484311576437065,
  ""lng"": 139.43243729067072
 }
]"
"a17TL0000OeUug5YQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49736396934041,
  ""lng"": 139.39638512255016
 },
 {
  ""lat"": 35.472461951698136,
  ""lng"": 139.40621457028226
 },
 {
  ""lat"": 35.49739043095874,
  ""lng"": 139.3963754544778
 }
]"
"a17TL0000OeUwRwYQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.50468266040266,
  ""lng"": 139.43020602335585
 },
 {
  ""lat"": 35.503613634097356,
  ""lng"": 139.42508346419683
 },
 {
  ""lat"": 35.50473470619112,
  ""lng"": 139.43017925999953
 }
]"
"a17TL0000OeV7mrYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49918433463744,
  ""lng"": 139.426795958505
 },
 {
  ""lat"": 35.48842119694055,
  ""lng"": 139.3871318260732
 },
 {
  ""lat"": 35.49928757357949,
  ""lng"": 139.42677046646855
 }
]"
"a17TL0000OeVB8mYQG","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.492701470711054,
  ""lng"": 139.42925337751848
 },
 {
  ""lat"": 35.49401175585064,
  ""lng"": 139.4343173881386
 },
 {
  ""lat"": 35.49272767662327,
  ""lng"": 139.42914608915788
 }
]"
"a17TL0000OeVDbsYQG","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49641212788557,
  ""lng"": 139.39219120841457
 },
 {
  ""lat"": 35.47389480409008,
  ""lng"": 139.4021609455419
 },
 {
  ""lat"": 35.49644287389952,
  ""lng"": 139.39222344023906
 }
]"
"a17TL0000OeVZ1QYQW","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.47439506478554,
  ""lng"": 139.4297116617539
 },
 {
  ""lat"": 35.511422012562555,
  ""lng"": 139.41615023234982
 },
 {
  ""lat"": 35.474372458443035,
  ""lng"": 139.4297535061286
 }
]"
"a17TL0000OeVZxIYQW","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.499188293163684,
  ""lng"": 139.42677076774436
 },
 {
  ""lat"": 35.50208589741519,
  ""lng"": 139.43104982401937
 },
 {
  ""lat"": 35.49918606241489,
  ""lng"": 139.4267690184316
 }
]"
"a17TL0000OeVcleYQC","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49786494140035,
  ""lng"": 139.40380061323094
 },
 {
  ""lat"": 35.47116753462935,
  ""lng"": 139.41441409311528
 },
 {
  ""lat"": 35.49792140485693,
  ""lng"": 139.40388811844073
 }
]"
"a17TL0000OeVeZ7YQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.493924183963486,
  ""lng"": 139.39043741910257
 },
 {
  ""lat"": 35.47358872799853,
  ""lng"": 139.39971752018735
 },
 {
  ""lat"": 35.49396468860203,
  ""lng"": 139.3904065675075
 }
]"
"a17TL0000OeVtEgYQK","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.49644901902026,
  ""lng"": 139.42785908866566
 },
 {
  ""lat"": 35.48147109019714,
  ""lng"": 139.37547717874253
 },
 {
  ""lat"": 35.496638735225865,
  ""lng"": 139.4279858369101
 }
]"
"a17TL0000OeVwEOYQ0","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.492734407187,
  ""lng"": 139.42914031178483
 },
 {
  ""lat"": 35.477129621149814,
  ""lng"": 139.37779984454014
 },
 {
  ""lat"": 35.49282391931635,
  ""lng"": 139.42911635221813
 }
]"
"a17TL0000OeWBwIYQW","","04miyagi_s.geojson","0","2415f4","a1FTL000007uzmL2AQ","[
 {
  ""lat"": 35.48894535598059,
  ""lng"": 139.43070421995495
 },
 {
  ""lat"": 35.47383685703306,
  ""lng"": 139.37865029156595
 },
 {
  ""lat"": 35.488995263769326,
  ""lng"": 139.43062360690436
 }
]"
